region,sensitivity_type,CAPEX,H2_PRICE,EFFICIENCY,VOM,LIFETIME_HOURS,CAPACITY_MW,operating_hours,total_hours,utilisation_%,energy_consumed_mwh,h2_produced_kg,h2_produced_tonnes,electricity_cost_$,depreciation_cost_$,vom_cost_$,total_cost_$,lcoh_$/kg,lcoh_electricity_$/kg,lcoh_depreciation_$/kg,lcoh_vom_$/kg,avg_operating_price_$/mwh
VIC,CAPEX_only,600,5.0,49,4.5,80000,100,73966,105120,70.36339421613394,7396600,150951020.40816328,150951.02040816328,216727940.0,55474500.0,33284700.0,305487140.0,2.023750082470324,1.435750082470324,0.3675,0.22049999999999997,29.30102209123111
VIC,CAPEX_only,800,5.0,49,4.5,80000,100,72274,105120,68.75380517503805,7227400,147497959.18367347,147497.95918367346,201670207.0,72274000.0,32523300.0,306467507.0,2.0777745583474,1.3672745583474002,0.49,0.2205,27.903562415253063
VIC,CAPEX_only,1000,5.0,49,4.5,80000,100,70801,105120,67.3525494672755,7080100,144491836.73469388,144491.83673469388,188963849.0,88501250.0,31860450.0,309325549.0,2.140782178359063,1.3077821783590626,0.6124999999999999,0.2205,26.689432211409443
VIC,CAPEX_only,1200,5.0,49,4.5,80000,100,69348,105120,65.9703196347032,6934800,141526530.6122449,141526.5306122449,176783089.0,104022000.0,31206600.0,312011689.0,2.2046162486300975,1.2491162486300975,0.735,0.2205,25.492168339389742
VIC,CAPEX_only,1400,5.0,49,4.5,80000,100,68113,105120,64.79547184170472,6811300,139006122.4489796,139006.1224489796,166745019.0,119197750.0,30650850.0,316593619.0,2.2775516173124073,1.1995516173124074,0.8575,0.2205,24.480645251273618
QLD,CAPEX_only,600,5.2,51,5.5,75000,100,62915,105120,59.85064687975646,6291500,123362745.09803921,123362.74509803922,271356236.0,50332000.0,34603250.0,356291486.0,2.8881611358181676,2.1996611358181677,0.40800000000000003,0.2805,43.13061050623857
QLD,CAPEX_only,800,5.2,51,5.5,75000,100,59495,105120,56.59722222222222,5949500,116656862.74509804,116656.86274509804,241508141.0,63461333.33333333,32722250.0,337691724.3333333,2.8947437500630304,2.0702437500630304,0.5439999999999999,0.28049999999999997,40.59301470711824
QLD,CAPEX_only,1000,5.2,51,5.5,75000,100,57174,105120,54.38926940639269,5717400,112105882.35294117,112105.88235294117,221867652.0,76232000.0,31445700.0,329545352.0,2.9395901899464794,1.9790901899464792,0.68,0.2805,38.80568999895057
QLD,CAPEX_only,1200,5.2,51,5.5,75000,100,55429,105120,52.729261796042614,5542900,108684313.7254902,108684.3137254902,207593256.0,88686400.0,30485950.0,326765606.0,3.0065572003824714,1.9100572003824712,0.816,0.28049999999999997,37.452101968283756
QLD,CAPEX_only,1400,5.2,51,5.5,75000,100,53492,105120,50.88660578386606,5349200,104886274.50980392,104886.27450980392,192276999.0,99851733.33333334,29420600.0,321549332.3333334,3.06569504767068,1.8331950476706798,0.9520000000000001,0.2805,35.94500093471922
