iteration,CAPEX,EFFICIENCY,H2_PRICE,LIFETIME_HOURS,VOM,WACC,lcoh_$/kg,utilization_%,h2_production_kg,h2_production_tonnes,npv_$,npv_$m,payback_years,annual_cash_flow
0,1128.232479099269,49.27106049734737,4.456119550219632,99623.64143445139,4.94117616130454,0.07989159248870144,2.498118682262081,49.03443683409437,104615162.49031225,104615.16249031224,2683799097.2754865,2683.7990972754865,0.4286418107052958,263211019.29903966
1,1028.2233725655385,49.15007043779388,3.8245766691573078,80118.92725805503,5.672717322404782,0.07137281683761218,1.9903895457949312,34.74885844748859,74319323.80693364,74319.32380693364,1990171068.7972364,1990.1710687972363,0.561274039420495,183194536.0642655
2,1152.0109447508592,45.0,3.688425595064635,69331.02386184556,5.046758708241291,0.05,2.0679458635783674,37.0072298325723,86448888.8888889,86448.88888888889,2747780669.8433833,2747.7806698433833,0.562701496374465,204728608.71587628
3,1289.877202384264,49.65323201785814,3.7888101508810457,78131.24470308796,4.889903778682407,0.07120280189124124,1.950000163800538,31.088280060882802,65816460.82624874,65816.46082624875,1868424385.2051287,1868.4243852051286,0.7371749129129284,174975732.32482183
4,1013.1208434810746,53.98994265383272,4.961361206883495,91025.74739529938,4.939027476681079,0.07422800376845894,2.7681802154627455,49.98002283105023,97312568.63313279,97312.56863313279,2935165129.9782634,2935.1651299782634,0.3726075720304809,271900229.498878
5,1013.1234292805041,45.801132954166675,3.583926673882374,91466.06336689115,5.915246238422593,0.05,1.929673818120833,37.88812785388128,86958547.59718716,86958.54759718716,2528137530.436599,2528.137530436599,0.5389903620764971,187966891.53723955
6,1298.7260184424142,55.277809216286414,4.491213390082939,69821.96368761228,5.420181740602457,0.09449500850190393,2.443564786528496,33.1031202435312,62951119.97627345,62951.11997627345,1689431168.7579577,1689.4311687579577,0.6707328200043942,193627921.5372085
7,1170.8709698415832,52.9901212700241,5.230376250752454,77278.65326129369,5.14655207274997,0.07392121568657693,2.996031976319343,51.24714611872147,101662345.18597753,101662.34518597754,3340162082.9094915,3340.1620829094913,0.37920468980096145,308770171.1854236
8,976.0577842152451,48.00432804635817,4.393806980539807,62136.598082959696,5.715658714601449,0.07846704552571986,2.606793769073586,47.10331050228311,103146949.48376939,103146.9494837694,2723530199.3774867,2723.5301993774865,0.37239274116301146,262104406.5378237
9,1135.4532068647895,50.42255907966158,5.246302040093189,82422.01762222286,5.158024120589189,0.05531432969133848,2.969565256359892,55.81050228310502,116352682.35257876,116352.68235257876,4488979421.066518,4488.979421066518,0.32842574775132866,345726001.8859761
10,977.0117133820372,57.0,5.218412443610399,88980.19229150304,6.429377262290705,0.0787017807790348,2.9548516152699476,49.02777777777778,90417543.85964912,90417.54385964911,2708565792.618643,2708.5657926186427,0.3739688078801365,261254867.46348816
11,976.6475638126846,53.99287507910393,4.27375785586556,75358.19508704415,4.6965604232030636,0.08372775619049451,2.320816528019649,38.085045662100455,74148672.28564043,74148.67228564044,1923801583.7103858,1923.8015837103858,0.49653232766082284,196693651.02846324
12,1088.1090577716504,51.035837311984444,5.193222831499828,68993.54351075884,5.345748501925742,0.07319495967453686,2.9934753677076147,52.833904109589035,108823530.53303997,108823.53053303997,3578106972.42117,3578.10697242117,0.3327796925294221,326975798.7637564
13,748.6583614663969,50.030252066799186,5.221966537900228,78241.17856149806,4.341068692124725,0.06988191836263838,2.908798212871336,61.308980213089804,128818059.74903062,128818.05974903062,4109105735.7077847,4109.105735707784,0.20816561005192574,359645553.9796647
14,778.3254413791974,51.31256500744277,4.6196283244628615,78757.1312822685,5.213828626690672,0.05874078962627996,2.5547492799118663,49.34931506849315,101098044.8794082,101098.04487940819,3272537488.816174,3272.537488816174,0.2993303528218414,260022224.2889111
15,961.4397141445468,48.9120046835954,4.178463063780117,75730.29448664658,4.11430071439203,0.0672757928359301,2.4037504113401686,46.40981735159818,99742384.9535293,99742.3849535293,2742776860.538985,2742.7768605389847,0.40235901132910085,238950709.95642692
16,890.4790985473282,45.0,4.854828112113448,76608.43611902358,6.115711131111279,0.06354842812033308,2.7830963771485955,61.14440639269406,142833333.33333334,142833.33333333334,4478261999.806558,4478.2619998065575,0.24026472425398204,370624152.7183198
17,1099.4939548837556,57.0,5.565666270248869,73435.66634577567,6.132365607779603,0.07720714503114783,3.2231916692063187,50.273972602739725,92715789.4736842,92715.78947368421,3114266263.983248,3114.2662639832483,0.3710626762599449,296309498.4291856
18,906.9862081054093,51.63372599673356,5.0546217252943695,83963.59435403766,6.1469403933226925,0.05929156334352073,2.8200769864604265,52.993721461187214,107888785.72025603,107888.78572025603,3770544645.253796,3770.5446452537963,0.3010664843235006,301257780.3681524
19,827.5621670396915,52.62444084169995,4.068311042880267,81626.04700648614,5.523819796143936,0.07711459909094483,2.167371354999981,38.29242770167428,76491074.02601276,76491.07402601276,1943161332.3753128,1943.161332375313,0.44441159898438576,186215249.3163815
20,1280.8396811051448,50.76373638050221,5.122780182506242,66152.07167570265,4.7741069161141745,0.059428781909606335,3.029104359069815,50.38622526636225,104338261.47663878,104338.26147663879,3975362572.84699,3975.36257284699,0.3990110934789896,321003526.4777893
21,1014.4402326733706,48.00072345304368,4.679148587844479,65904.68457157265,4.839718978570342,0.06669435781758377,2.685674005759895,50.6107305936073,110835829.48920432,110835.82948920432,3518998159.024725,3518.998159024725,0.334975885795805,302839779.12719196
22,1060.635692238348,50.241428117729015,4.975877036291849,72710.63024676093,6.76239194555693,0.0777621594023615,2.8760804232542427,50.82667427701675,106344508.90767209,106344.50890767209,3156917833.126584,3156.917833126584,0.35209092752216525,301239142.88350344
23,825.6021606713805,45.0,5.201096804397091,81631.53411694661,6.684433610634832,0.06113216132817585,2.9607071210641087,67.74067732115677,158242222.2222222,158242.22222222222,5297748022.296041,5297.74802229604,0.1935564478396549,426543352.0227246
24,964.2597208872837,57.0,4.843543468431199,76332.51672501733,5.601108004484386,0.07819675976111778,2.8375495157230466,45.39954337899543,83726315.78947368,83726.31578947368,2364325942.902603,2364.325942902603,0.42247408764039074,228241151.1373119
25,1067.4703078793038,45.96319104643663,5.331839494564323,69211.6463088961,5.07460192188373,0.07696772638665925,3.12351305430692,65.64878234398782,150141881.8599413,150141.8818599413,4677132948.603255,4677.1329486032555,0.2437156205104691,437998313.6261261
26,868.7185115559873,46.789577561903506,5.1831689864712125,77353.66737053246,6.629114323726271,0.06658602151545051,2.9736845298401975,63.268645357686445,142142766.5424178,142142.76654241778,4572287001.392912,4572.287001392912,0.22346233647891012,388753883.6496391
27,1109.1724378894432,49.20374244610348,5.014816131591707,72022.70532429955,4.927034891857532,0.08463846833708295,2.8713978146777013,53.43797564687976,114166112.59099154,114166.11259099154,3274381356.5893426,3274.3813565893424,0.334879414550115,331215473.300899
28,955.3994063377883,56.2553489573977,3.997613444422999,82924.37814201719,5.6888005966791235,0.07098008270891165,1.9092431225234883,30.144596651445966,56328865.76527575,56328.86576527575,1670359590.6235666,1670.3595906235666,0.6198083245884636,154144332.76160792
29,1004.0582344075589,51.05919671699163,5.372527184802213,77997.52591560343,6.615364776953728,0.08388868423497542,3.0597319312321174,56.40220700152207,116120119.0230815,116120.1190230815,3448734004.3420334,3448.7340043420336,0.2911277571894434,344885779.3914153
30,955.2312085738699,45.95656595219571,5.607792662954348,72162.4963129307,4.810020737776682,0.09259765805345246,3.1830298691893826,70.76674277016743,161870232.160908,161870.23216090802,4615738022.576935,4615.738022576935,0.19456053654639158,490968633.9943362
