iteration,CAPEX,EFFICIENCY,H2_PRICE,LIFETIME_HOURS,VOM,WACC,lcoh_$/kg,utilization_%,h2_production_kg,h2_production_tonnes,npv_$,npv_$m,payback_years,annual_cash_flow
0,1020.7817668041007,47.338862046471,4.3883555166035375,100000.0,4.0427804956128055,0.07989159248870144,1.7425605724004385,62.613203957382034,139037985.18728155,139037.98518728156,4532112269.076318,4532.112269076318,0.23463397741763836,435052833.369974
1,930.2973370831062,47.222616695135294,3.786203006006233,85460.1890752587,4.64131417287664,0.07137281683761218,1.5506442609227284,56.584855403348556,125960830.13359915,125960.83013359914,3879447460.8776755,3879.4474608776754,0.2686054836543392,346343389.7277687
2,1042.2956166793488,45.0,3.6563880503732644,73953.09211930193,4.129166215833783,0.05,1.5783202940355303,56.03215372907153,130891111.1111111,130891.11111111111,4879028773.554423,4879.028773554423,0.2935913936780409,355015725.6388633
3,1167.0317545381436,47.706046448530365,3.752100968882248,83339.99434996049,4.000830364376514,0.07120280189124124,1.6152979384966584,54.81449771689497,120783431.63935581,120783.43163935581,3770976139.784308,3770.976139784308,0.34448213790904597,338778597.2363758
4,916.6331441019246,51.872690000741244,4.870084534760998,97094.130554986,4.041022480920883,0.07422800376845894,1.9767041108094587,64.96385083713851,131649235.84842844,131649.23584842845,4893198629.711991,4893.198629711991,0.20580847947728892,445381621.99632573
5,916.6354836347418,45.0,3.5567522384094543,97563.80092468389,4.839746922345757,0.05,1.4304090022111442,56.875,132860000.0,132860.0,4663770858.823039,4663.770858823039,0.27065159114799514,338677293.4704515
6,1175.0378262098034,53.11005199211832,4.421816180026177,74476.76126678645,4.43469415140201,0.09449500850190393,1.9688932342611727,56.04356925418569,110926270.62150654,110926.27062150654,3327468307.0659785,3327.4683070659785,0.32189108303564407,365042055.56998533
7,1059.3594489042896,50.91207729865061,5.139534489792117,82430.56347871327,4.210815332249976,0.07392121568657693,2.1991773351212625,66.71137747336377,137741384.2075909,137741.38420759092,5450154803.431384,5450.154803431384,0.21395459262486588,495132839.1261513
8,883.0999000042693,46.12180537787353,4.328942812574066,66279.03795515701,4.676448039219367,0.07846704552571986,1.8129935304067737,61.20909436834094,139506681.2169237,139506.68121692372,4622815190.426489,4622.815190426489,0.20221092363823698,436722153.3413143
9,1027.314806211,48.44520382163564,5.15734006357273,87916.81879703773,4.2202015532093355,0.05531432969133848,2.2148259203484804,70.95890410958904,153971898.38364804,153971.89838364805,7102800022.22477,7102.800022224769,0.19016396036937266,540225815.7726382
10,883.9629787742241,55.26542148595285,5.1261585467724515,94912.20511093659,5.260399578237849,0.0787017807790348,2.045966837013769,62.48668188736682,118855512.60419829,118855.51260419829,4511233803.093036,4511.233803093036,0.20688419431137647,427274293.0974188
11,883.6335101162384,51.875507428942996,4.21448046332549,80382.07475951375,3.8426403462570518,0.08372775619049451,1.7025843394575053,57.392503805175046,116299585.2766144,116299.5852766144,3607501905.201831,3607.501905201831,0.2465124913879612,358453847.5681448
12,984.4796236981599,49.03443192720074,5.098039102997384,73593.11307814276,4.373794228848335,0.07319495967453686,2.2068631970268813,68.00608828006088,145791431.0216443,145791.4310216443,5743774745.189397,5743.7747451893965,0.19036983545189187,517140555.04709756
13,677.3575651362638,48.06828139751294,5.1301321449877015,83457.2571322646,3.5517834753747746,0.06988191836263838,2.081880854227029,73.08694824961948,159833049.50023684,159833.04950023684,6332971878.493738,6332.971878493739,0.1232528613688615,549567415.8096186
14,704.1992088668928,49.30030755617051,4.5442550158578605,84007.60670108639,4.265859785474187,0.05874078962627996,1.7573382216193674,63.10216894977169,134548856.36245418,134548.8563624542,5487898843.120259,5487.89884312026,0.16354645696584963,430580534.6880353
15,869.8740270831614,46.99388685286617,4.123620444122084,80778.98078575636,3.3662460390480247,0.0672757928359301,1.6247462566254811,60.230213089802135,134728161.98036715,134728.16198036715,4735095400.631877,4735.095400631877,0.2148639029208811,404848843.969605
16,805.6715653523446,45.0,4.768509214381202,81715.66519362514,5.00376365272741,0.06354842812033308,2.026136008412228,71.3670091324201,166713333.33333334,166713.33333333334,6472895406.944501,6472.895406944501,0.15168244512459764,531156762.8610785
17,994.7802448948265,57.0,5.514400127677724,78331.37743549404,5.017390042728765,0.07720714503114783,2.30900627304596,62.872907153729074,115950877.19298245,115950.87719298244,4868021513.461201,4868.021513461201,0.21834380614057047,455602685.7269235
18,820.6065692382274,49.608873996861654,4.959004950119415,89561.1673109735,5.029314867264022,0.05929156334352073,2.047519046092647,67.80536529680366,143677923.43867573,143677.92343867573,6127725333.688595,6127.725333688595,0.1696786321489038,483623988.97587353
19,748.746722559721,50.560737279280346,4.018594613064279,87067.78347358522,4.519488924117765,0.07711459909094483,1.571875175809483,57.37442922374429,119286235.22014125,119286.23522014124,3675846788.601555,3675.846788601555,0.21783258808521494,343725761.6692389
20,1158.8549495713214,48.77300162048252,5.0244338947055205,70562.20978741617,3.906087476820688,0.059428781909606335,2.2372565695395625,66.02739726027397,142308239.58731237,142308.23958731236,6426949602.643355,6426.949602643355,0.22694690860216205,510628215.5192492
21,917.8268771806687,46.118342141159616,4.601005360294277,70298.33020967749,3.959770073375734,0.06669435781758377,1.9640855022757957,66.06259512937595,150580000.8756643,150580.0008756643,5750636212.475937,5750.636212475937,0.18818109645939454,487735959.90749055
22,959.6227691680291,48.27117603468082,4.883924835053733,77558.005596545,5.532866137273851,0.0777621594023615,2.1125814216029237,66.39459665144597,144587320.495063,144587.320495063,5190534956.106311,5190.534956106311,0.19702472989120198,487057015.48122275
23,746.9733834645824,45.0,5.106799073595042,87073.63639140972,5.469082045064862,0.06113216132817585,2.1309646965916214,74.9933409436834,175184444.44444445,175184.44444444444,7360888294.048398,7360.888294048398,0.12683183051475425,588947885.1112912
24,872.4254617551615,57.0,4.7577497287972115,81421.35117335182,4.582724730941771,0.07819675976111778,1.925605241355431,57.980403348554034,106928070.1754386,106928.0701754386,3891518500.5504904,3891.5185005504904,0.23698051574100865,368142274.9153851
25,965.806469033656,45.0,5.252973844982605,73825.7560628225,4.15194702699578,0.07696772638665925,2.2751863110294384,75.0142694063927,175233333.33333334,175233.33333333334,6737417425.276365,6737.417425276365,0.1545370310416609,624967661.4877431
26,785.9834152173219,45.0,5.087019571923847,82510.57852856797,5.423820810321494,0.06658602151545051,2.153161744799653,74.52815829528159,174097777.7777778,174097.77777777778,6945857107.155322,6945.857107155322,0.13426262618528986,585407449.2276214
27,1003.5369676142583,47.27418391880531,4.921051805681217,76824.2190125862,4.031210366065253,0.08463846833708295,2.115480649956706,68.46746575342466,152245885.6690484,152245.8856690484,5236060397.205115,5236.060397205115,0.1925607906954691,521153327.21152526
28,864.4089866865703,54.04925684142132,3.951187097785766,88452.67001815166,4.654473215464738,0.07098008270891165,1.5821983496807404,53.580669710806696,104208648.35432002,104208.64835432002,3387783257.5869546,3387.7832575869547,0.28631149403682077,301912079.9164996
29,908.433640654458,49.056875277109604,5.2984640655922925,83197.36097664366,5.412571181143959,0.08388868423497542,2.2912471117259527,71.61529680365297,153458612.22255075,153458.61222255076,5513059566.793688,5513.059566793688,0.16708856571695369,543683906.0509593
30,864.256807757311,45.0,5.561498866545875,76973.32940045942,3.9354715127263766,0.09259765805345246,2.3299171938345933,78.7052891933029,183855555.55555555,183855.55555555556,6512011927.836786,6512.0119278367865,0.12579440816098264,687039130.2698426
31,1213.9496412925237,53.91700637416877,3.9065267469058864,82222.58021164603,5.05972592030505,0.06695960712656349,1.6877277847308876,49.49961948249619,96507583.59783323,96507.58359783323,3344681089.7250533,3344.6810897250534,0.4172294846440897,290954902.75047606
32,948.0766454748444,51.86552245699909,4.7115626709532386,92624.46137143233,4.851378537194612,0.0781264327987452,1.885076405554852,61.15296803652968,123943608.30607054,123943.60830607054,4405791975.612551,4405.791975612551,0.22783506638517373,416124111.4096298
33,799.2761926237843,51.110665032288495,4.24632758607961,74531.55126515478,4.473326333993696,0.061966644140931774,1.7179405858703343,57.898592085235926,119080821.90194668,119080.82190194668,4503427918.145848,4503.427918145849,0.21817172455970887,366351869.9486833
34,1067.2126499747044,51.80567822538969,5.1418449570600275,83865.50702381275,3.829432320585147,0.05698653844019671,2.1809534823366588,66.03025114155251,133983382.47405095,133983.38247405094,6256067750.208151,6256.067750208151,0.22002672191269673,485037744.8236302
35,776.0297798791294,57.0,5.086155871066679,79323.58073152644,4.011003161930289,0.06753720831693101,1.989585011908414,60.98744292237443,112473684.21052632,112473.68421052632,4807813796.668053,4807.813796668052,0.1888140544458874,411002127.01673293
36,979.7630622881776,57.0,3.9194078112689668,84099.04336507616,4.695379474174194,0.05283123647515677,1.5791976546614834,49.356925418569254,91024561.40350877,91024.56140350876,3630662449.8454022,3630.662449845402,0.3582812057238887,273462031.1184386
37,670.747007347132,46.308075855427084,5.392613643374261,73716.176560681,3.5392476634550643,0.0581861419764439,2.212584335541763,77.0738203957382,174958683.778922,174958.683778922,8116450589.781489,8116.45058978149,0.10645185736148566,630094226.6037048
38,760.7334880319736,55.36562917181972,4.042035692223646,81059.22015833,4.588252104837318,0.07745205075144546,1.6041417312987272,53.76902587519026,102088607.76167041,102088.60776167041,3207451159.496905,3207.451159496905,0.25195975321940356,301926588.79513025
39,978.0527261113501,50.50201930385489,5.22011351912238,90635.10351120129,4.8652094142416225,0.06352802240534464,2.2036130428755083,68.83942161339421,143289319.9074049,143289.3199074049,6196372343.494546,6196.372343494546,0.19165440029967434,510321038.5892778
40,1055.231487649346,50.956455599259975,4.655862964670697,71004.73298003737,5.165023616646143,0.07895247749773546,2.0253836208994875,59.411149162861484,122561507.20362699,122561.50720362698,4351856739.845588,4351.856739845588,0.25414430885921596,415209568.2905475
41,974.4199800695708,45.0,4.403436411580128,67237.71100807922,3.5561089747393497,0.07377259041902035,1.9020888816781052,64.49296042617961,150655555.55555555,150655.55555555556,5241376017.765987,5241.376017765987,0.2051015255246193,475091532.1459208
42,933.5201197596757,48.33208779967827,3.9743898480820095,67602.02658092514,5.3884669255838595,0.09332454118144086,1.7425087351075401,56.03786149162862,121879692.52259804,121879.69252259804,3274956297.4897895,3274.9562974897894,0.26417939416490555,353365985.5306336
43,907.0927233785263,45.81373152588066,4.002838739219709,68761.63971007819,5.644370358571456,0.07660664979825818,1.7134113265011213,58.071727549467276,133246077.03154464,133246.07703154464,4134417694.4275465,4134.417694427547,0.2352499272786833,385586824.13702095
44,739.3106163726416,52.24599055438177,4.992822954556024,85715.10356376957,4.776852308206676,0.08403914768551937,2.0238193824490556,65.7876712328767,132366138.08291557,132366.13808291557,4585960171.234542,4585.960171234542,0.16333157461355288,452644026.8036791
45,847.422200303754,53.198635561578996,4.817300835767904,66503.74701569154,3.7993172075383543,0.07506374675540708,1.9738030104088713,60.36815068493151,119286893.97784334,119286.89397784334,4582521355.304502,4582.521355304501,0.20174102042076023,420054482.98830444
46,884.3589751382303,45.0,3.8558694584499413,77140.20469046211,4.278526230356837,0.07392355811358373,1.5643037675372158,58.599695585996955,136888888.8888889,136888.8888888889,4223053187.951939,4223.053187951939,0.2301160389167219,384310011.2888161
47,1100.6399172361955,48.91362333310326,3.8223060030365525,85935.57731178279,4.467871859545007,0.08467563633062777,1.6239771169957615,54.900114155251146,117985534.63722435,117985.53463722435,3295544795.073474,3295.544795073474,0.3302391504675097,333285716.02671957
48,998.9656062635057,53.39769709879347,3.6586831170120795,83999.9269812665,4.682562868393126,0.07842684806990234,1.4784687504895693,49.06012176560122,96580944.12683067,96580.94412683067,2827865833.979672,2827.865833979672,0.36740326478162433,271898946.4770453
49,698.7667778608104,48.268218467731295,5.1232457825140685,76298.63379236014,4.514837548034432,0.0726468015232636,2.1402646037220485,71.95776255707761,156711812.45392114,156711.81245392113,6028212444.590401,6028.212444590401,0.13018630290501654,536743699.04384506
50,996.1819656387582,51.85792948840927,5.070293732240052,81832.86782484902,4.689786471453866,0.07259124879071445,2.16184075120163,65.19596651445967,132157223.93104412,132157.2239310441,5211984287.998931,5211.984287998931,0.21294946035668816,467802061.564356
51,895.1257750406749,50.37656863309817,3.592102985237746,81028.59516548066,4.438745938796092,0.07678168932906325,1.452531124895032,51.75228310502283,107990681.93036288,107990.68193036289,3092954599.6460347,3092.9545996460347,0.3074428683609918,291151907.28367794
52,853.5386149564009,50.3393081092543,4.833472239653995,77847.28682673741,4.678947288795764,0.06154069365480545,2.02621817697547,64.94387366818873,135617676.4524293,135617.6764524293,5639417498.8741455,5639.417498874145,0.1873581507581272,455565243.0933145
53,1037.1638711598237,47.936445285972276,3.712781124508877,77975.98670091602,4.189146690716113,0.06100612672665241,1.579699046625006,54.335045662100455,119151513.34075713,119151.51334075713,4058591227.7352514,4058.5912277352513,0.31416673389371713,330131665.5348675
54,1096.917431955673,45.0,5.462633562479778,100000.0,4.271723966036834,0.08796011474789896,2.3012788739187613,77.91856925418568,182017777.7777778,182017.77777777778,6520500317.041065,6520.5003170410655,0.1648832757143508,665269068.1958604
55,1082.7074169740583,45.0,5.472129047531878,87769.38467774048,4.111183009928249,0.09349161216463597,2.3421606595946547,77.5875190258752,181244444.44444445,181244.44444444444,6257915289.119655,6257.9152891196545,0.16210613412706312,667900337.5192473
56,830.411502940774,51.78066185666484,5.048526915482834,100000.0,5.794150185790248,0.058296081024031915,2.0709754912554508,66.43835616438356,134876607.39703482,134876.60739703482,5873776992.698794,5873.776992698794,0.1806821505428014,459597973.8153823
57,905.9372364412019,49.07627636163402,5.52943306992347,75229.15392396318,5.488133030667668,0.061570670151259735,2.4141389951770327,73.10787671232876,156595010.2524062,156595.0102524062,7203759095.00062,7203.75909500062,0.1560921076455901,580386318.1206756
58,997.2050389750078,48.45703200113968,5.247908975748993,79184.32066987379,4.874823578259191,0.08439578752575223,2.298248130563619,71.13108828006088,154307841.2194981,154307.8412194981,5537307867.820127,5537.307867820126,0.18153414577042357,549320919.6225371
59,1089.015180614936,47.33835103409638,5.2827941214554555,67211.59265334418,5.394583573155724,0.07672235191359421,2.3995438600062484,70.12176560121766,155713070.67055944,155713.07067055945,6116680336.899853,6116.680336899853,0.19159520949373465,568393741.9377638
